title,author,pages,year,active
The Silent Forest,Alice Green,320,2015,true
Echoes of Tomorrow,Brian Stone,280,2018,false
Midnight Sun,Carla Frost,350,2020,true
Winds of Change,David Hill,210,2012,false
Shadows and Light,Ella Rivers,400,2019,true
The Last Voyage,Frank Miller,275,2017,false
Broken Chains,Grace Lee,330,2016,true
Hidden Truths,Henry Clark,290,2014,false
The Forgotten Path,Ivy Brooks,310,2021,true
Rise of Legends,Jack Turner,360,2013,false
Crimson Skies,Karen White,295,2018,true
The Glass Tower,Liam Scott,340,2015,false
Distant Horizons,Mia Carter,225,2017,true
Veil of Secrets,Noah Reed,315,2019,false
The Lost City,Olivia King,385,2016,true
Fading Memories,Paul Adams,260,2014,false
The Iron Gate,Quinn Baker,305,2020,true
Storm Watch,Rachel Fox,370,2013,false
The Painted World,Samuel Young,245,2017,true
Echoes in the Dark,Tina Black,325,2015,false
The Silver Key,Uma Patel,310,2018,true
Frost and Flame,Victor Cruz,280,2016,false
The Endless Night,Wendy Harris,355,2019,true
Shifting Sands,Xander Lewis,265,2014,false
The Golden Thread,Yara Gomez,295,2021,true
Twilight's Edge,Zane Porter,340,2017,false
The Hidden Valley,Anna Bell,320,2015,true
Mirror Lake,Ben Carter,275,2018,false
The Secret Garden,Clara Dean,305,2020,true
Beyond the Stars,Derek Evans,360,2013,false